SMILES,Validity,SA Score
CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCN(CCCCCC(=O)OCCCCCCC)CCCO,True,2.7894907483188316
CCCCCCCCCCCOC(=O)CCCCCCN(CCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCO,True,2.8458544419489886
CCCCCCCCCCCOC(=O)CCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCO,True,2.8860008314027166
CCCCCCCCC(CCCCCCCC)OC(=O)CCOCCOCCN(CCO)CCOCCOCCC(=O)OC(CCCCCCCC)CCCCCCCC,True,3.2269329381376703
CCCCCCCCCCCOC(=O)CCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCO,True,2.8458544419489886
CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCN(CCCCCCC(=O)OCCCCCCC)CCCO,True,2.801082119831781
CCCCCCCC/C=C\CCCCCCCC(=O)OCC(C[N+](C)(C)CC1CCC(C(=O)[O-])CC1)OC(=O)CCCCCCC/C=C\CCCCCCCC,True,4.09699366006946
CCCCCCCCC(CCCCCC)C(=O)OCCCCCCN(CCCCCCOC(=O)C(CCCCCC)CCCCCCCC)CCCCO,True,3.56815416455283
CCCCCCCCCCC(O)CN(CCN1CCN(CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,True,4.670372683665047
CCCCCCCCCCCCCCCC(=O)OCC(CN(C)C)OC(=O)CCCCCCCCCCCCCCC,True,2.9036366900581534
CCCCC/C=C\C/C=C\CCCCCCCCC(CCCCCCCC/C=C\C/C=C\CCCCC)OC(=O)CCN(C)C,True,3.0884153598634345
CCCCCCCCCCCOC(=O)CCCCCCN(CCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCO,True,2.854985211179759
CCCCC/C=C\C/C=C\CCCCCCCCC(OC(=O)CCCN(C)C)CCCCCCCC/C=C\C/C=C\CCCCC,True,3.0995862398370964
CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(CCCCCCC(=O)OCCCCCCC)CCCO,True,2.8265964557968264
